Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt7286456,11/10/2019,11/10/2019,"How can I describe something that my feeling cant even contain.. this is truly greatness.. a movie that moved you into something that you cant describe, painful and sorrow, depressing, twisting, and oddly beautiful. And the Oscar goes to Joaquin Phoenix ! ",Joker,Joker,https://www.imdb.com/title/tt7286456/,Película,8.4,122,2019,CRIMEN,1561802,10/4/2019,Todd Phillips
2,tt8637428,11/4/2019,11/4/2019,"Beautifully crafted, infinitely humane, joyous and poignant in all the right measures. All credit to Lulu Wang, she has written and directed a film of true grace and pleasure. One of the most enlightening movies I have ever seen. ",The Farewell,The Farewell,https://www.imdb.com/title/tt8637428/,Película,7.5,100,2019,Comedia,72698,11/8/2019,Lulu Wang
3,tt2935510,12/8/2019,12/8/2019,A beautiful and moving piece. Science Fiction at its finest. Along the same quality and lines of  2001: A Space Odyssey   such a powerful piece of art. Exquisite performance of Brad Pitt. ,Ad Astra,Ad Astra,https://www.imdb.com/title/tt2935510/,Película,6.5,123,2019,AVENTURA,265696,9/20/2019,James Gray
4,tt7131622,11/3/2019,11/3/2019,"This movie does everything a movie should - takes you into a different world and time, using a trio of actors that are so on top of their game they make it look effortless.Everything you love about Tarantino movies is here",Érase una vez en... Hollywood,Once Upon a Time in... Hollywood,https://www.imdb.com/title/tt7131622/,Película,7.6,161,2019,Comedia,878480,8/15/2019,Quentin Tarantino
5,tt6751668,8/17/2019,8/17/2019,Engaging and bonkers film that is worth it for the adrenaline alone. The film had so many good performances and the charcters were well developed. The sequences and reveals throughout kept me engaged. Genius Bong Joon-ho is back ! ,Parásitos,Gisaengchung,https://www.imdb.com/title/tt6751668/,Película,8.5,132,2019,drama,1009079,10/25/2019,Bong Joon Ho
6,tt1727824,1/19/2019,1/19/2019,"This movie had me singing, crying, even air drumming to the songs. Takes turns but really touches a part in one's life. This movie will have you either on the edge or back of your seat. Outstanding performance by Malek !!",Bohemian Rhapsody,Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/,Película,7.9,134,2018,Biograf�a,609013,10/31/2018,Bryan Singer
7,tt5727208,12/24/2019,12/24/2019,A brutal tense thriller anchored by a stunning lead performance. Adam Sandler is the best he’s ever been. He absolutely shines and gives depth never shown before. an intense roller-roaster . The  Safdie brothers are the future of cinema ,Diamantes en bruto,Uncut Gems,https://www.imdb.com/title/tt5727208/,Película,7.4,135,2019,CRIMEN,327458,1/31/2020,"Benny Safdie, Josh Safdie"
8,tt4154796,4/27/2019,4/27/2019,"Avengers Endgame is an epic and unbelievably fulfilling ending to a massive franchise. It wraps up character arcs beautifully and is an amazing farewell to those that have watched from the very begging, worth the wait.",Vengadores: Endgame,Avengers: Endgame,https://www.imdb.com/title/tt4154796/,Película,8.4,181,2019,Acci�n,1311951,4/25/2019,"Anthony Russo, Joe Russo"
9,tt6146586,7/13/2019,7/13/2019,"Great story and beautiful action choreography. As good the first, two films! Halle Berry gave a memorable performance. This franchise still has plenty of momentum! John Wick cements its legacy as one of the best action series of all time ",John Wick: Capítulo 3 - Parabellum,John Wick: Chapter 3 - Parabellum,https://www.imdb.com/title/tt6146586/,Película,7.4,130,2019,Acci�n,440194,5/31/2019,Chad Stahelski
10,tt1302006,11/27/2019,11/27/2019,"Scorsese at his prime once more. Those looking for flashy editing and F bombs reminiscent of Goodfellas or Casino, you might be a little let down.But as an epic character study of a working stiff within the context of the world of gangsters, this is a must watch ",El irlandés,The Irishman,https://www.imdb.com/title/tt1302006/,Película,7.8,209,2019,Biograf�a,442375,11/27/2019,Martin Scorsese
11,tt6857112,5/26/2019,5/26/2019,"Us is a very important factor in the modern horror genre, that not only proves that the genre is still alive, but also shows that @JordanPeele  is only improving and shooting for one of the greatest horror masterminds of all time.",Nosotros,Us,https://www.imdb.com/title/tt6857112/,Película,6.8,116,2019,Terror,355291,3/22/2019,Jordan Peele
12,tt7653254,12/14/2019,12/14/2019,"This movie seemed so natural, I forgot it was a movie. Scarlett and Driver have great chemistry, both during their tender moments and when they're ripping their eyeballs out. A film that beautifully delves deep on separation",Historia de un matrimonio,Marriage Story,https://www.imdb.com/title/tt7653254/,Película,7.9,137,2019,drama,354473,12/6/2019,Noah Baumbach
13,tt8526872,12/26/2019,12/26/2019,"ddie Murphy is back! he picked the perfect story to re-open his raw and remarkable storytelling and acting skills after going through a long period of films unsuitable for his talents. Smile on the face, from the start until the end.",Yo soy Dolemite,Dolemite Is My Name,https://www.imdb.com/title/tt8526872/,Película,7.2,118,2019,Biograf�a,65934,10/25/2019,Craig Brewer
14,tt7975244,12/21/2019,12/21/2019,Hilarious and well done. Sequels are rarely as good as the first time around but they did a great job. The new characters only added to the story in the best possible way.  I enjoyed it more than the first one. Absolutely hilarious!!! ,Jumanji: Siguiente nivel,Jumanji: The Next Level,https://www.imdb.com/title/tt7975244/,Película,6.7,123,2019,Acci�n,294645,12/13/2019,Jake Kasdan
15,tt5606664,12/12/2019,12/12/2019,"Doctor Sleep is powerful in it's delivery. A perfect balance of nostalgia, recreation and call-backs to Kubrick's The Shining while offering something entirely new. ",Doctor Sueño,Doctor Sleep,https://www.imdb.com/title/tt5606664/,Película,7.3,152,2019,drama,226848,10/31/2019,Mike Flanagan
16,tt2139881,7/21/2019,7/21/2019,"Seth Rogen and Charlize Theron have such great chemistry together! Really enjoyed this movie, the plot flowed smoothly and the comedy was just right throughout. The  best romcom Ive seein in years ",Casi imposible,Long Shot,https://www.imdb.com/title/tt2139881/,Película,6.8,125,2019,Comedia,124176,5/17/2019,Jonathan Levine
